brand,name,price
Apple,"Apple iPhone 13 (128GB, Pink) [Locked] + Carrier Subscription",$829.00
Apple,"Apple iPhone 12 (128GB, Purple) [Locked] + Carrier Subscription",$879.00
Apple,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",$329.90
Apple,"Apple iPhone 8, US Version, 64GB, Space Gray - Unlocked (Renewed)",$134.00
Apple,"Apple iPhone SE (2nd Generation), 64GB, Red - Unlocked (Renewed)",$145.00
Apple,"Apple iPhone 12, 64GB, White - Fully Unlocked (Renewed)",$399.56
Apple,"Apple iPhone XR, US Version, 128GB, Black - Unlocked (Renewed)",$253.94
Apple,"Apple iPhone 12 Mini, 64GB, Green - Fully Unlocked (Renewed)",$337.47
Apple,"Apple iPhone 12 Pro, 256GB, Pacific Blue - Fully Unlocked (Renewed)",$575.00
Apple,"Apple iPhone XS, US Version, 64GB, Space Gray - Unlocked (Renewed)",$232.00
Apple,"Apple iPhone 13, 128GB, Pink - Unlocked (Renewed)",$583.54
Apple,"Apple iPhone X, US Version, 256GB, Space Gray - Unlocked (Renewed)",$268.00
Apple,"Apple iPhone 8 Plus, 64GB, Space Gray - Unlocked (Renewed)",$194.95
Apple,"iPhone 13 Pro Max, 128GB, Gold - Unlocked (Renewed Premium)",$914.00
Apple,"Apple iPhone 14 Pro Max, 256GB, Space Black - Unlocked (Renewed Premium)","$1,250.00"
Apple,"Apple iPhone 11 Pro, 64GB, Space Gray - Unlocked (Renewed)",$369.00
Apple,"Apple iPhone SE 3rd Gen, 64GB, Midnight - Unlocked (Renewed)",$259.00
Apple,"iPhone 13 Mini, 128GB, Pink - Unlocked (Renewed)",$479.61
N/A,"VEEKTOMX Portable Charger with Built in Cables and AC Wall Plug, 22.5W USB C Fast Charging Power Bank 20000mAh, Large Capacity Battery Charger Compatible with iPhone/Samsung and Other Smart Devices",$52.99
N/A,"NGB Compatible for iPhone 6 6S 7 8 Case, iPhone SE 3 2022/iPhone SE 2 2020 Case with Tempered Glass Screen Protector, Ring Holder, Girls Women Kids Liquid Glitter TPU Cute Case (Pink/Aqua)",$12.98
Apple,"Apple iPhone 14, 128GB, Blue - Unlocked (Renewed)",$690.97
Apple,"Apple iPhone 14 Pro Max, 256GB, Space Black - Unlocked (Renewed)","$1,074.31"
Apple,"Apple iPhone 12 Pro Max 5G, US Version, 128GB, Graphite - Unlocked (Renewed)",$640.00
Apple,"Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed Premium)",$475.00
Apple,"Apple iPhone 11, 128GB, Purple for T-Mobile (Renewed)",$371.75
Apple,"Apple iPhone 14, 128GB, Starlight - Unlocked (Renewed)",$689.97
Apple,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed Premium)",$375.00
Apple,"Apple Iphone X, 256GB, Space Gray - Fully Unlocked (Renewed)",$267.50
Apple,"Apple iPhone SE 3rd Gen, 128GB, Midnight - Unlocked (Renewed Premium)",$359.00
Apple,Apple Simple Mobile Prepaid - Apple Iphone 11 (64GB) - Black [Locked to Carrier  Simple Mobile],$699.00
Apple,"Apple iPhone 13 Pro, 256GB, Sierra Blue - Unlocked (Renewed)",$778.89
Apple,"Apple iPhone 8, Verizon Unlocked, 64GB - Red - (Renewed)",$141.49
SAMSUNG,"SAMSUNG Galaxy S23 Ultra Cell Phone, Factory Unlocked Android Smartphone, 256GB, 200MP Camera, Night Mode, Long Battery Life, S Pen, US Version, 2023, Green","$1,169.00"
Motorola,Motorola Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue,$133.54
SAMSUNG,"SAMSUNG Galaxy A14 4G LTE (128GB + 4GB) Unlocked Worldwide (Only T-Mobile/Mint/Metro USA Market) 6.6"" 50MP Triple Camera + (15W Wall Charger) (Black (SM-A145M/DS))",$145.99
TracFone,"Tracfone Alcatel TCL A3, 32GB, Black - Prepaid Smartphone (Locked)",$39.88
